date	race	name	party	chamber	special	incumbent	prob	voteshare	min_share	max_share
2018-09-25	VA-04	A. Donald McEachin	D	house	FALSE	TRUE	0.9994	0.6321	0.5791	0.6842
2018-09-25	GA-03	A. Drew Ferguson	R	house	FALSE	TRUE	0.9998	0.6757	0.6266	0.7254
2018-09-25	LA-03	Aaron Andrus	L	house	FALSE	FALSE	2e-4	0.0254	0.0071	0.0486
2018-09-25	ID-02	Aaron Swisher	D	house	FALSE	FALSE	0.002	0.3635	0.3088	0.4175
2018-09-25	IA-01	Abby Finkenauer	D	house	FALSE	FALSE	0.9707	0.5536	0.5065	0.6002
2018-09-25	VA-07	Abigail Spanberger	D	house	FALSE	FALSE	0.3522	0.4743	0.4313	0.5172
2018-09-25	IL-16	Adam Kinzinger	R	house	FALSE	TRUE	0.9835	0.5901	0.5384	0.642
2018-09-25	CA-28	Adam Schiff	D	house	FALSE	TRUE	1	0.8116	0.7665	0.8571
2018-09-25	WA-09	Adam Smith	D	house	FALSE	TRUE	0.9818	0.6131	0.5438	0.6828
2018-09-25	NE-03	Adrian Smith	R	house	FALSE	TRUE	1	0.7158	0.6638	0.7682
2018-09-25	NY-13	Adriano Espaillat	D	house	FALSE	TRUE	1	0.9248	0.8904	0.9594
2018-09-25	TX-14	Adrienne Bell	D	house	FALSE	FALSE	0.0126	0.3897	0.3354	0.4431
2018-09-25	OH-01	Aftab Pureval	D	house	FALSE	FALSE	0.5744	0.4921	0.4457	0.5383
2018-09-25	NJ-10	Agha Khan	R	house	FALSE	FALSE	0	0.1268	0.0772	0.1759
2018-09-25	CA-44	Aja L. Brown	D	house	FALSE	FALSE	0	0.2736	0.2185	0.3282
2018-09-25	CA-41	Aja Smith	R	house	FALSE	FALSE	2e-4	0.3273	0.2748	0.3806
2018-09-25	TX-09	Al Green	D	house	FALSE	TRUE	1	0.8493	0.778	0.9148
2018-09-25	FL-05	Al Lawson	D	house	FALSE	TRUE	1	0.697	0.647	0.7463
2018-09-25	KS-01	Alan LaPolice	D	house	FALSE	FALSE	0	0.2865	0.2369	0.3366
2018-09-25	CA-47	Alan Lowenthal	D	house	FALSE	TRUE	0.9999	0.673	0.622	0.7234
2018-09-25	NJ-08	Albio Sires	D	house	FALSE	TRUE	1	0.767	0.7129	0.8208
2018-09-25	FL-20	Alcee L. Hastings	D	house	FALSE	TRUE	1	1	1	1
2018-09-25	WV-02	Alex Mooney	R	house	FALSE	TRUE	0.9472	0.5417	0.4874	0.5953
2018-09-25	NY-14	Alexandria Ocasio-Cortez	D	house	FALSE	FALSE	1	0.7925	0.741	0.8431
2018-09-25	NC-12	Alma Adams	D	house	FALSE	TRUE	1	0.706	0.6566	0.7558
2018-09-25	AK-01	Alyse S. Galvin	D	house	FALSE	FALSE	0.2737	0.4427	0.3825	0.502
2018-09-25	NY-04	Ameer Benno	R	house	FALSE	FALSE	9e-4	0.3479	0.2944	0.4013
2018-09-25	CA-07	Ami Bera	D	house	FALSE	TRUE	0.9902	0.584	0.5404	0.6277
2018-09-25	MD-06	Amie Hoeber	R	house	FALSE	FALSE	0.0066	0.3749	0.3221	0.4279
2018-09-25	CA-50	Ammar Campa-Najjar	D	house	FALSE	FALSE	0.1617	0.4684	0.4261	0.5101
2018-09-25	KY-06	Amy McGrath	D	house	FALSE	FALSE	0.4175	0.4783	0.4352	0.5211
2018-09-25	LA-06	Andie Saizan	D	house	FALSE	FALSE	0	0.1315	0.0745	0.1885
2018-09-25	IN-07	André Carson	D	house	FALSE	TRUE	0.9999	0.6846	0.6345	0.7343
2018-09-25	CA-07	Andrew Grant	R	house	FALSE	FALSE	0.0098	0.416	0.3723	0.4596
2018-09-25	CA-22	Andrew Janz	D	house	FALSE	FALSE	0.0525	0.441	0.394	0.4874
2018-09-25	KY-06	Andy Barr	R	house	FALSE	TRUE	0.5825	0.4914	0.4484	0.5344
2018-09-25	AZ-05	Andy Biggs	R	house	FALSE	TRUE	0.9984	0.6352	0.5826	0.6875
2018-09-25	MD-01	Andy Harris	R	house	FALSE	TRUE	0.9922	0.5916	0.5368	0.6464
2018-09-25	NJ-03	Andy Kim	D	house	FALSE	FALSE	0.6799	0.5049	0.4557	0.5536
2018-09-25	MI-09	Andy Levin	D	house	FALSE	FALSE	0.9944	0.592	0.5379	0.6455
2018-09-25	CT-03	Angel Cadena	R	house	FALSE	FALSE	1e-4	0.3017	0.2519	0.3514
2018-09-25	FL-12	Angelika Purkis	NPA	house	FALSE	FALSE	0	0.0287	0.0085	0.0541
2018-09-25	MN-02	Angie Craig	D	house	FALSE	FALSE	0.7539	0.5227	0.4797	0.5659
2018-09-25	AZ-06	Anita Malik	D	house	FALSE	FALSE	0.172	0.4623	0.4103	0.5142
2018-09-25	AZ-02	Ann Kirkpatrick	D	house	FALSE	FALSE	0.9304	0.5581	0.5084	0.6081
2018-09-25	NH-02	Ann Kuster	D	house	FALSE	TRUE	0.9887	0.5812	0.5261	0.636
2018-09-25	MO-02	Ann Wagner	R	house	FALSE	TRUE	0.8789	0.5235	0.4766	0.57
2018-09-25	CA-18	Anna G. Eshoo	D	house	FALSE	TRUE	1	0.7794	0.7254	0.8338
2018-09-25	NY-22	Anthony Brindisi	D	house	FALSE	FALSE	0.6694	0.5144	0.4705	0.5582
2018-09-25	MD-04	Anthony Brown	D	house	FALSE	TRUE	1	0.7754	0.7245	0.8267
2018-09-25	TX-15	Anthony Cristo	L	house	FALSE	FALSE	0	0.028	0.0081	0.0532
2018-09-25	VA-09	Anthony Flaccavento	D	house	FALSE	FALSE	0.0068	0.3881	0.3337	0.4426
2018-09-25	OH-16	Anthony Gonzalez	R	house	FALSE	FALSE	0.9512	0.5681	0.5165	0.6195
2018-09-25	CA-05	Anthony Mills	I	house	FALSE	FALSE	2e-4	0.1969	0.1258	0.2723
2018-09-25	NY-14	Anthony Pappas	R	house	FALSE	FALSE	0	0.1703	0.1189	0.221
2018-09-25	NY-19	Antonio Delgado	D	house	FALSE	FALSE	0.5148	0.4847	0.438	0.5308
2018-09-25	CA-26	Antonio Sabato Jr.	R	house	FALSE	FALSE	4e-4	0.3313	0.2781	0.3845
2018-09-25	VT-01	Anya Tynio	R	house	FALSE	FALSE	0	0.1836	0.13	0.2368
2018-09-25	FL-17	April Freeman	D	house	FALSE	FALSE	0.0024	0.3721	0.3191	0.4256
2018-09-25	SC-05	Archie Parnell	D	house	FALSE	FALSE	0.0221	0.4044	0.353	0.4556
2018-09-25	OR-04	Arthur B. Robinson	R	house	FALSE	FALSE	0.0062	0.3727	0.3193	0.4252
2018-09-25	IL-03	Arthur J. Jones	R	house	FALSE	FALSE	1e-4	0.3194	0.2699	0.369
2018-09-25	TX-28	Arthur Thomas IV	L	house	FALSE	FALSE	3e-4	0.1926	0.122	0.2673
2018-09-25	CA-01	Audrey Denney	D	house	FALSE	FALSE	0.1623	0.4598	0.4066	0.5126
2018-09-25	GA-08	Austin Scott	R	house	FALSE	TRUE	1	1	1	1
2018-09-25	TX-18	Ava Reynero Pate	R	house	FALSE	FALSE	0	0.2112	0.155	0.2665
2018-09-25	MA-07	Ayanna Pressley	D	house	FALSE	FALSE	1	1	1	1
2018-09-25	VA-10	Barbara Comstock	R	house	FALSE	TRUE	0.2183	0.4718	0.4251	0.5187
2018-09-25	NC-04	Barbara Howe	L	house	FALSE	FALSE	0	0.0287	0.0084	0.0541
2018-09-25	CA-13	Barbara Lee	D	house	FALSE	TRUE	1	0.9	0.8402	0.9528
2018-09-25	GA-11	Barry Loudermilk	R	house	FALSE	TRUE	0.9994	0.6557	0.6054	0.7065
2018-09-25	WI-08	Beau Liegeois	D	house	FALSE	FALSE	0.0057	0.3886	0.3369	0.4398
2018-09-25	VA-06	Ben Cline	R	house	FALSE	FALSE	0.9966	0.6181	0.5683	0.6686
2018-09-25	UT-04	Ben McAdams	D	house	FALSE	FALSE	0.1769	0.4678	0.4232	0.5126
2018-09-25	TX-16	Ben Mendoza	I	house	FALSE	FALSE	0	0.0349	0.0112	0.0641
2018-09-25	NM-03	Ben R. Lujan	D	house	FALSE	TRUE	0.9998	0.6366	0.5904	0.6825
2018-09-25	CA-29	Benito Benny Bernal	R	house	FALSE	FALSE	0	0.1964	0.1421	0.2509
2018-09-25	MO-07	Benjamin Brixey	L	house	FALSE	FALSE	0	0.0339	0.0108	0.0627
2018-09-25	MS-02	Bennie G. Thompson	D	house	FALSE	TRUE	1	0.7541	0.7019	0.8065
2018-09-25	IL-13	Betsy Dirksen Londrigan	D	house	FALSE	FALSE	0.3186	0.4843	0.4405	0.5282
2018-09-25	OH-14	Betsy Rader	D	house	FALSE	FALSE	0.1755	0.4641	0.4138	0.5139
2018-09-25	MN-04	Betty McCollum	D	house	FALSE	TRUE	0.9999	0.6703	0.6162	0.7245
2018-09-25	OH-11	Beverly A. Goldstein	R	house	FALSE	FALSE	0	0.1946	0.145	0.2447
