forecastdate,state,class,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-10-04,AZ,1,false,Kyrsten Sinema,D,false,classic,0.6259,49.99,45.56,54.39
2018-10-04,AZ,1,false,Martha McSally,R,false,classic,0.3741,47.91,43.45,52.31
2018-10-04,AZ,1,false,Angela Green,G,false,classic,0.0,2.1,0.54,4.08
2018-10-04,CA,1,false,Dianne Feinstein,D,true,classic,0.9851,59.73,53.97,65.46
2018-10-04,CA,1,false,Kevin de Leon,D,false,classic,0.0149,40.27,34.54,46.03
2018-10-04,CT,1,false,Christopher Murphy,D,true,classic,0.9988,61.81,56.98,66.69
2018-10-04,CT,1,false,Matthew Corey,R,false,classic,0.0012,36.02,31.09,40.8
2018-10-04,CT,1,false,Others,,false,classic,0.0,2.18,0.58,4.24
2018-10-04,DE,1,false,Thomas R. Carper,D,true,classic,0.9982,61.99,56.68,67.27
2018-10-04,DE,1,false,Rob Arlett,R,false,classic,0.0018,35.31,29.99,40.6
2018-10-04,DE,1,false,Others,,false,classic,0.0,2.7,0.79,5.1
2018-10-04,FL,1,false,Bill Nelson,D,true,classic,0.6003,50.84,46.52,55.16
2018-10-04,FL,1,false,Rick Scott,R,false,classic,0.3997,49.16,44.84,53.48
2018-10-04,HI,1,false,Mazie K. Hirono,D,true,classic,1.0,76.25,70.5,82.07
2018-10-04,HI,1,false,Ron Curtis,R,false,classic,0.0,23.75,17.93,29.5
2018-10-04,IN,1,false,Joe Donnelly,D,true,classic,0.7543,51.23,46.36,56.05
2018-10-04,IN,1,false,Mike Braun,R,false,classic,0.2456,46.29,41.5,51.09
2018-10-04,IN,1,false,Lucy M. Brenton,L,false,classic,0.0,2.48,0.69,4.74
2018-10-04,MA,1,false,Elizabeth Warren,D,true,classic,0.999,63.41,57.68,69.09
2018-10-04,MA,1,false,Geoff Diehl,R,false,classic,0.001,33.31,27.66,39.0
2018-10-04,MA,1,false,V. A. Shiva Ayyadurai,I,false,classic,0.0,3.28,1.04,6.05
2018-10-04,MD,1,false,Benjamin L. Cardin,D,true,classic,0.9999,66.28,60.9,71.67
2018-10-04,MD,1,false,Tony Campbell,R,false,classic,0.0001,28.43,22.96,33.71
2018-10-04,MD,1,false,Others,,false,classic,0.0,5.29,2.08,9.12
2018-10-04,ME,1,false,Angus S. King Jr.,I,true,classic,0.999,62.58,57.24,67.94
2018-10-04,ME,1,false,Eric L. Brakey,R,false,classic,0.001,34.1,28.74,39.46
2018-10-04,ME,1,false,Zak Ringelstein,D,false,classic,0.0,3.31,1.07,6.09
2018-10-04,MI,1,false,Debbie Stabenow,D,true,classic,0.9936,57.72,53.27,62.19
2018-10-04,MI,1,false,John James,R,false,classic,0.0064,39.88,35.37,44.29
2018-10-04,MI,1,false,Others,,false,classic,0.0,2.4,0.66,4.61
2018-10-04,MN,1,false,Amy Klobuchar,D,true,classic,0.9987,60.11,55.47,64.75
