year	race	lean	category	winner	party
2018	AK-01	15.21	Lean R	FALSE	R
2018	AL-01	28.61	Safe R	FALSE	R
2018	AL-02	30.97	Safe R	FALSE	R
2018	AL-03	31.37	Safe R	FALSE	R
2018	AL-04	59.81	Safe R	FALSE	R
2018	AL-05	32.81	Safe R	FALSE	R
2018	AL-06	47.21	Safe R	FALSE	R
2018	AL-07	-41.69	Solid D	TRUE	D
2018	AR-01	30	Safe R	FALSE	R
2018	AR-02	9.63	Like R	FALSE	R
2018	AR-03	30.8	Safe R	FALSE	R
2018	AR-04	29.13	Safe R	FALSE	R
2018	AZ-01	5.56	Like D	TRUE	R
2018	AZ-02	1.22	Solid D	TRUE	R
2018	AZ-03	-24.11	Solid D	TRUE	D
2018	AZ-04	42.86	Safe R	FALSE	R
2018	AZ-05	27.79	Safe R	FALSE	R
2018	AZ-06	17.56	Like R	FALSE	R
2018	AZ-07	-43.88	Solid D	TRUE	D
2018	AZ-08	26.32	Like R	FALSE	R
2018	AZ-09	-8.38	Solid D	TRUE	D
2018	CA-01	22.53	Like R	FALSE	R
2018	CA-10	0.77	Like D	TRUE	R
2018	CA-11	-41.1	Solid D	TRUE	D
2018	CA-12	-71.57	Solid D	TRUE	D
2018	CA-13	-75.93	Solid D	TRUE	D
2018	CA-14	-52.03	Solid D	TRUE	D
2018	CA-15	-39.23	Solid D	TRUE	D
2018	CA-16	-16.83	Solid D	TRUE	D
2018	CA-17	-47.1	Solid D	TRUE	D
2018	CA-18	-44.6	Solid D	TRUE	D
2018	CA-19	-45.2	Solid D	TRUE	D
2018	CA-02	-40.5	Solid D	TRUE	D
2018	CA-20	-42.4	Solid D	TRUE	D
2018	CA-22	15.3	Safe R	FALSE	R
2018	CA-23	27.1	Safe R	FALSE	R
2018	CA-24	-13.17	Solid D	TRUE	D
2018	CA-25	0.1	Lean D	TRUE	R
2018	CA-26	-14.07	Solid D	TRUE	D
2018	CA-27	-30.3	Solid D	TRUE	D
2018	CA-28	-43.83	Solid D	TRUE	D
2018	CA-29	-55.47	Solid D	TRUE	D
2018	CA-03	-8.17	Solid D	TRUE	D
2018	CA-30	-36.03	Solid D	TRUE	D
2018	CA-31	-15.63	Solid D	TRUE	D
2018	CA-32	-32.87	Solid D	TRUE	D
2018	CA-33	-31.5	Solid D	TRUE	D
2018	CA-34	-67.6	Solid D	TRUE	D
2018	CA-35	-35.5	Solid D	TRUE	D
2018	CA-36	-2.97	Solid D	TRUE	D
2018	CA-37	-70.83	Solid D	TRUE	D
2018	CA-38	-33.07	Solid D	TRUE	D
2018	CA-39	-0.53	Tilt D	TRUE	D
2018	CA-04	19.9	Like R	FALSE	R
2018	CA-40	-63.97	Solid D	TRUE	D
2018	CA-41	-23.03	Solid D	TRUE	D
2018	CA-42	17	Safe R	FALSE	R
2018	CA-43	-56.5	Solid D	TRUE	D
2018	CA-44	-66.87	Solid D	TRUE	D
2018	CA-45	4.3	Lean D	TRUE	R
2018	CA-46	-30.03	Solid D	TRUE	D
2018	CA-47	-24.6	Solid D	TRUE	D
2018	CA-48	6.73	Tilt D	TRUE	R
2018	CA-49	1.13	Solid D	TRUE	R
2018	CA-05	-40.03	Solid D	TRUE	D
2018	CA-50	21.57	Like R	FALSE	R
2018	CA-51	-42.2	Solid D	TRUE	D
2018	CA-52	-13.17	Solid D	TRUE	D
2018	CA-53	-27.63	Solid D	TRUE	D
2018	CA-06	-39.5	Solid D	TRUE	D
2018	CA-07	-4.97	Solid D	TRUE	D
2018	CA-08	18.67	Safe R	FALSE	R
2018	CA-09	-14.33	Solid D	TRUE	D
2018	CO-01	-40.37	Solid D	TRUE	D
2018	CO-02	-16.77	Solid D	TRUE	D
2018	CO-03	13.56	Like R	FALSE	R
2018	CO-04	25.39	Safe R	FALSE	R
2018	CO-05	26.49	Safe R	FALSE	R
2018	CO-06	-4.07	Like D	TRUE	D
2018	CO-07	-9.37	Solid D	TRUE	D
2018	CT-01	-20.56	Solid D	TRUE	D
2018	CT-02	-2.29	Solid D	TRUE	D
2018	CT-03	-15.02	Solid D	TRUE	D
2018	CT-04	-14.96	Solid D	TRUE	D
2018	CT-05	-1.39	Solid D	TRUE	D
2018	DE-01	-13.66	Solid D	TRUE	D
2018	FL-01	43.9	Safe R	FALSE	R
2018	FL-10	-20.46	Solid D	TRUE	D
2018	FL-11	32.9	Safe R	FALSE	R
2018	FL-12	19.8	Safe R	FALSE	R
2018	FL-13	-0.8	Solid D	TRUE	D
2018	FL-14	-12.7	Solid D	TRUE	D
2018	FL-15	13.44	Tilt R	FALSE	R
2018	FL-16	14.9	Like R	FALSE	R
2018	FL-17	28.47	Safe R	FALSE	R
2018	FL-18	12.27	Like R	FALSE	R
2018	FL-19	26.9	Safe R	FALSE	R
2018	FL-02	38.84	Safe R	FALSE	R
2018	FL-20	-58.3	Solid D	TRUE	D
2018	FL-21	-15.26	Solid D	TRUE	D
2018	FL-22	-10.06	Solid D	TRUE	D
2018	FL-23	-20.3	Solid D	TRUE	D
2018	FL-24	-64.03	Solid D	TRUE	D
2018	FL-25	9.3	Lean R	FALSE	R
2018	FL-26	-9.8	Tilt D	TRUE	D
2018	FL-27	-10.4	Like D	TRUE	D
2018	FL-03	20.47	Safe R	FALSE	R
2018	FL-04	34.67	Safe R	FALSE	R
2018	FL-05	-21.43	Solid D	TRUE	D
2018	FL-06	18.1	Lean R	FALSE	R
2018	FL-07	0.04	Like D	TRUE	R
2018	FL-08	23.54	Safe R	FALSE	R
2018	FL-09	-7.76	Solid D	TRUE	D
2018	GA-01	20.37	Safe R	FALSE	R
2018	GA-10	31.47	Safe R	FALSE	R
